type,category,review,star
에어팟 1세대,음질,2세대로 배송 받았고 철가루랑 하얀색 실리콘케이스도 잘 받았습니다 역시 사용해보니 왜 에어팟하는지 알겠더라구요 음질이 깨끗하고 좋고 톡톡 하면 다음곡으로 넘어가요 그리고 되게 귀가 안아프고 편해요~예쁘고 착용감이 좋아요>_<,5
에어팟 1세대,음질,"배송은 4시 이전 주문 당일 발송으로 다음날 바로 받았구요, 바로 정품 등록했는데 이상 없이 잘 됐어요!~연결도 잘되고, 음악 잠깐 들었는데 음질도 좋고 정말 편해요^^미리 구입해둔 케이스도 장착해서 바로 사용했어요~가격도 L.POINT랑 청구할인 받아서 직구보다 저렴하게 잘 구입했습니다.좋은 상품 감사합니다:)",5
에어팟 1세대,음질,"아이폰과 아이패드를 둘 다 사용하고 있는데 아이폰에서 음악을 듣거나 영상을 보다 아이패드로 바꿔서 들을때 불편해서 블루투스 이어폰을 검색하다 주변의 구매자들 모두 하나같이 최고다라고 이야기 한 애플의 에어팟을 구매하였습니다.

할인쿠폰과 카드청구할인 혜택으로 저렴하게 구입할 수 있었고 배송도 공휴일이 포함되었음에도 2일만에 받을 수 있어 좋았습니다.

제품은 박스를 에어캡으로 감싸고 다시 큰 박스에 넣어 안전하게 배송이 되었습니다. 제품도 2018년 5월 제조 최신 제품으로 받았습니다.

받자마자 아이폰에 연결하고 사용해봤는데 . 대단하 만족합니다.",5
에어팟 1세대,음질,"다른 저렴한 곳도 있었습니다.

그래도 제조일자 최신에 페이백으로 다시 받는 금액 생각해보니 얼추 괜찮다고 생각해서 구매했습니다.

사용해보니 정말 편합니다. 음질도 나쁘지 않구요.
귀에 꼽고 장시간 있으면 혹시 떨어졌나 하는 생각도 들구요 가끔씩 귀 한번 만집니다 ㅋㅋㅋ
적응하면 신경 안쓸듯합니다.너무 불안하면 실리콘 줄 하나 구매해서 쓰려고 합니다",4
에어팟 1세대,음질,"택배도 하루일찍오고 하자 하나도 없고 깔끔했어요 뽁뽁이로 포장도 해주셔서 너무 감사했어요
친구들 말만듣고 좋구나...생각만 했는데
막상 사용하니 너무 좋아요 어제 노래들으면서 청소 했는데 삶의 질이 달라졌다는 말이 생각 나더라구요 ㅎㅎ 너무 마음에 들어요 그리고 차에서 선이 없으니까 걸리적 거리는게 없어서 너무 편했습니다 음질도 짱짱하구요 충전도 빠르게 되는거 같고 너무 좋았습니다.",5
에어팟 1세대,음질,"배송 너무 빨라서 놀랐어요...금요일에 주문해서 다름주에 오겠다했는데 다음날 바로 받았어요. 귀에서 빠지면 어떡하나 했는데 괜한 걱정이었고, 음질은 생각보다 괜찮네요. 근데 시끄러운데서 쓰기엔 별로에요... 알면서 산 거지만요!",5
에어팟 1세대,음질,아이폰 7쓰고있고 에어팟 처음나왔을때 넘 갖고싶었으나 가격에 헉해서 포기하고살았어요 이어팟으로잘지냈는데 자꾸 줄에걸려 핸드폰 여러번떨궈서 액정가느니. 에어팟사고파서 검색하다가 여기서샀어요 배송포장상태 좋구요 귀에 쏙 착용감도좋고 안빠져요 귀구멍이 큰 신랑은 끼고 흔드니 빠지더라구요 ㅋ 에어팟아닌 타사 무선이어폰 가격대 다 그렇더라구요 사고나니 좋네요 줄없어편한게젤이고 통화품질 다만족해요 왜사는지알겠어요 ㅋ,5
에어팟 1세대,음질,다른곳보다 저렴한 가격에 구매했습니다~ 현대카드 포인트 차감도 해서 싸게 구입했어요! 처음엔 정품이 아닐까 걱정했는데 정품 맞구요!! 제조년도 18년 6월이더라구여~ 배송도 담날 바로 오구 빨라요 매우 만족합니다~ 노래 음질도 아이폰에 있는 이어폰보다 좋고 삼성 기어는 통화하다가 잘끊긴다해서 에어팟도 그러지 않을까 했는데 그런거 하나도 없이 잘들리고 끊기지도 않고 몇개월 고민하다 샀는데 일찍 살걸 그랬다라는 생각을 엄청했네요~ 모든 부분에 있어 매우 만족합니다~ 조아요!!!!! 근데 한가지 아쉬운점은 케이스도 같이 구입햇는데 딱맞지는 않는데 그래도 좋아요!!,5
에어팟 1세대,음질,안녕하세요 4월11일 저녁9시에 에어팟 구매한 사람입니다. 다음날 오후 12시에 배송도착했구요 너무너무 신속히 와서 좋네요~?? 음질도 너무좋네요~>< 노래도 듣고 강의도 듣고 너무 행복합니다 열심히 공부할께요~ 가격만 쫌 내리면 좋겠어요ㅜㅡㅜ,5
에어팟 1세대,음질,"기대했던것 보다 완전 괜찮은 상품입니다.
이어폰 하고는 거리가 멀게 살고 있었는데 에어팟을 접하면서 신세계에 들어선거 같네요.
너무 잘 이용하고 있고 애정애정 하고 있는 생활 필수품 중에 하나가 되어버렸네요.
음질도 너무 좋네요.
아이들도 하나씩 사줘야겠어요.",5
에어팟 1세대,음질,"운동에 재미를 붙이면서 블루투스 이어폰 하나 있어야겠다 싶은 생각에 구입했습니다. 할인도 받았고 배송도 빨리 와서 만족. 리뷰를 해보자면, 아이폰, 애플워치랑 같이 돌리는데 정말 편합니다. 음질도 생각보다 괜찮고 왠만한 건 워치랑 연동되서 통화부터 문자까지 다 하다가 맘 내키면 음악 듣고 그럽니다. 한 가지 단점이라면, 이어폰 쓰던 시절의 버릇이 남아서 귀에서 확 벗겨버리는다는 거죠. 그러다 벌써 책상 밑에 두 번 떨어트림 ㅠㅠ 운동할 때 빠진다 안빠진다로 말들이 좀 있는거 같은데 결론은 이렇습니다. 귓구멍의 크기에 따라 잘 빠질 수도 있고 아닐 수도 있다는 거. 저는 걷기나 자전거에서는 절대 안빠지지만 러닝의 경우에 빠진 적은 없어도 살짝 간당간당한 느낌이 와서 이어후크 하나 사려고 합니다. 귓구멍 크기가 딱 적당하면 좋겠지만 구멍이 큰 경우엔 에어팟이 좀 헐렁할테고 구멍이 작은 경우엔 제대로 거치가 안되서 밖으로 튀어나올 수 있을테고 그러니 이 부분은 감안하셔야 할 듯.",4
에어팟 1세대,음질,"이곳저곳 보다가 하이마트 조건이 괜찮아서 구매했어요!
오늘 보니까 가격이 더 낮아졌네요ㅜㅜ 맴찢
그래도 괜찮은 가격에 사서 만족하고 배송도 빨라서 좋네요.
에어팟 케이스도 같이 판매하면 좋을텐데 아쉽네요. 저는 따로 구매해서 쓰고 있습니다! 제조일도 올해 4월걸로 주셨네요!

에어팟이 애플 제품에서는 깔끔하게 들리는데 타사 제품하고 연결했을때는 . 구매하시는 분들은 참고하시길. 그럼 잘 쓰겠습니다~",4
에어팟 1세대,음질,좀 더 일찍 살것을... 전 인강용으로 걸으며 들을 코드리스 콩나물을 구매했습니다 아이폰과 갤럭시탭과도 연결이 잘되고 생각보다 음질이 좋더군요 만족합니다 배송도 빠르고 실리콘케이스는 어차피 안쓰지만 기타 악세사리들을 많이 보내주셔서 감사합니다.,5
에어팟 1세대,음질,"다른데서 하나 구매하고 남자친구 선물용으로 여기서 하나 더 구매했어요!!
제조월이 3월꺼로 왔구요 포장 잘 되서 왔습니다!
일욜에 주문하거 화욜 오후에 받아씁니다
에어팟은 일단 너무 편하고 음질도 완전 좋고!!
너무 좋아서 제꺼랑 남친꺼랑 두개 사게 됐어요
가격은 좀 하지만..에어팟 자체에대한 제품성은 진짜 좋습니다
블루투스도 잘 연결되고 끊기는것도 하나도 없어요",5
에어팟 1세대,음질,잘 받았어요 일요일 저녁에 입금했는데 화요일 점심 12시쯤에 받았어요. 씨리얼 번호 써도 정품 인증이 안됐는데 날짜 입력하니까 정품인증 됐어요. 음질도 나쁘지 않고 좋네요. 싼 가격은 아니지만 오래기다리기 싫어서 구매했어요,5
